Processes: 305 total, 2 running, 303 sleeping, 1508 threads 
2020/10/06 14:30:01
Load Avg: 2.62, 4.03, 4.61 
CPU usage: 14.10% user, 34.61% sys, 51.28% idle 
SharedLibs: 154M resident, 52M data, 12M linkedit.
MemRegions: 166522 total, 1671M resident, 54M private, 854M shared.
PhysMem: 7826M used (3311M wired), 365M unused.
VM: 1420G vsize, 1993M framework vsize, 63112809(0) swapins, 66284402(0) swapouts.
Networks: packets: 121442898/137G in, 57233235/8970M out.
Disks: 53236517/850G read, 42358067/717G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD    SYSMACH    CSW       PAGEINS IDLEW     POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
60754  trustd           0.0  00:00.42 2     1   46     4276K 0B    4064K 60754 1     sleeping *0[106]     0.00000 0.00000    89  5016      192     850        215        7173      2228       2363      24      13        0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
60753  ContainerMetadat 0.0  00:00.22 2     1   60     2684K 0B    2176K 60753 1     sleeping *0[1]       0.00000 0.00000    501 8102      231     1257       190        4225      2274       2277      24      7         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60734  appstoreagent    0.0  01:13.72 4     1   207    19M   0B    17M   60734 1     sleeping *0[18715]   0.00000 0.00000    501 1509726   515     345592     100824     692661    477195     561321    2246    691       0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60585  SoftwareUpdateNo 0.0  00:00.25 3     1   160    3564K 0B    2204K 60585 1     sleeping *0[1]       0.00000 0.00000    501 7552      298     2512       700        5673      8158       4759      143     120       0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60581  mapspushd        0.0  00:00.40 2     1   93     4176K 0B    2960K 60581 1     sleeping  0[0]       0.00000 0.00000    501 8261      253     1643       468        7368      2958       5081      95      466       0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60569  photolibraryd    0.0  00:07.78 2     1   72     15M   0B    15M   60569 1     sleeping *0[2]       0.00000 0.00000    501 26463     287     920        250        43917     113116     40216     1307    37        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60565  com.apple.Safari 0.0  00:03.38 2     1   72     3428K 0B    2172K 60565 1     sleeping  0[0]       0.00000 0.00000    501 28165     182     324        132        16628     912        18018     11663   434       0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60491  OSDUIHelper      0.0  00:00.81 3     1   153    4772K 0B    2604K 60491 1     sleeping *0[339]     0.00000 0.00000    501 10768     286     13021      2304       12176     39126      18047     44      161       0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60445  pbs              0.0  00:00.10 3     2   42     1568K 0B    1524K 60445 1     sleeping *0[8]       0.00000 0.00000    501 4624      142     292        102        1465      518        964       4       3         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60439  replayd          0.0  00:00.09 2     1   42     3088K 0B    2924K 60439 1     sleeping *0[3]       0.00000 0.00000    501 3422      209     228        98         1136      516        1116      102     3         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
